"id","type_invoice","id_ref","status","datetime_trans","description"
4049,2,"469691ce-126e-46e7-949f-0a158052b279",8,"2021-12-23 14:48:00",Thông báo dữ liệu hóa đơn hợp lệ
4050,2,"9a6d10fc-91b4-4d29-aa17-8c39d8f2fd46",8,"2021-12-23 14:48:00",Thông báo dữ liệu hóa đơn hợp lệ
4051,2,b54f3cea-dfce-4d39-bad8-6f144f630ad2,8,"2021-12-23 14:48:00",Thông báo dữ liệu hóa đơn hợp lệ
4052,2,b1116929-c6e2-415c-8ed4-e63026c705cf,8,"2021-12-23 14:48:00",Thông báo dữ liệu hóa đơn hợp lệ
4053,2,ded25821-5112-4726-9b8c-ea148a2db49f,8,"2021-12-23 14:48:01",Thông báo dữ liệu hóa đơn hợp lệ
4054,2,e7ec9404-4710-4508-accb-1c1aa01feee1,8,"2021-12-23 14:48:01",Thông báo dữ liệu hóa đơn hợp lệ
4055,2,"0bd1a68e-cbed-4989-aa52-37f2f323314a",8,"2021-12-23 14:48:01",Thông báo dữ liệu hóa đơn hợp lệ
4056,2,de639163-72a1-42bb-8ab8-7977f9c8d780,8,"2021-12-23 14:48:01",Thông báo dữ liệu hóa đơn hợp lệ
4057,2,"78610589-1e8c-4054-bd22-dea291328efe",8,"2021-12-23 14:48:01",Thông báo dữ liệu hóa đơn hợp lệ
4058,2,"96c3c479-5d88-474b-9dd5-5697112f202f",8,"2021-12-23 14:48:01",Thông báo dữ liệu hóa đơn hợp lệ
4059,2,"5082d6e4-ef44-4a54-ac5c-62ce975d9e66",8,"2021-12-23 14:48:01",Thông báo dữ liệu hóa đơn hợp lệ
4061,2,fdb584ec-2b54-46df-bb49-43ec82f84626,8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4063,2,"0c0f3efc-5edc-4ff8-ac1c-d0bd6d2dbaf6",8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4064,2,b635384c-1d2a-4f27-9174-33b28e6f1250,8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4066,2,d3876337-3d9b-4db0-bca9-2235bf74a616,8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4068,2,d847c478-eca4-4c64-8986-119f99a9a819,8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4070,2,"6ed6755b-33fc-4a1d-a859-5d86126335e8",8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4072,2,"6dd41e1c-e625-4f10-aedb-10dadb1f42a2",8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4074,2,b025c57a-004d-400c-afd2-8a287ff62624,8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
4076,2,"61eebe21-3406-4366-ba43-c3a397fb02fb",8,"2021-12-23 14:48:02",Thông báo dữ liệu hóa đơn hợp lệ
