"id","type_invoice","id_ref","status","datetime_trans","description"
6067,2,"2f00a038-54d9-4e89-8626-7382e0ec3bc6",10,"2021-12-23 15:36:30","00957DE0C4C29F407495526D0591A29C47"
6066,2,"217f7858-d4d7-44b1-918f-b53861e23b0e",10,"2021-12-23 15:36:30","0068CCB350D9EF41D4B6181F86264DDF61"
6065,2,"2fa70f5a-a7b4-43a3-86f5-cd3fed20ede9",10,"2021-12-23 15:36:30","0002CB242E76114AD6911A1D206DED0B82"
6064,2,a1c46f02-6d44-4e3d-b83c-c5fdcb814b33,10,"2021-12-23 15:36:03","002908DE8985EA4F0C8C4C121F27D7A4BF"
6063,2,fe7e9d6f-8f4f-4a45-97e8-b9b7202239a1,10,"2021-12-23 15:36:03","00C71D0F87B6574F97BC71190493B3FC91"
6062,2,"4cb320b2-9730-4c9e-b083-c05d60f1bdb5",10,"2021-12-23 15:36:03","00ED4417580F5E4C16BE7561B478417AB4"
6061,2,"2be36dcd-6e45-4ade-9d67-b02353d9cc60",10,"2021-12-23 15:36:03","0034FB7EFC138C482DA90597073216357A"
6060,2,a9bc3ea5-a082-479d-8a6d-aabb2e3a2a74,10,"2021-12-23 15:36:03","00F19504632A6545458C93F79E232ABE3A"
6059,2,"13273757-a1c6-4e6d-831d-2ab73894d3b3",10,"2021-12-23 15:36:03","00F711EDB31ECB4317A814DF08DEC6A3DF"
6058,2,"457599df-701f-41a8-a004-763a1f27e0fa",10,"2021-12-23 15:36:02","006135B42F3DBE404AB3ABEABD5A7AD601"
6057,2,a1e1d2ac-61c8-4cd0-8c92-b3fe8b94f67b,10,"2021-12-23 15:36:02","0094889C147499478193ACFAC3383AA6FD"
6056,2,"6e7b5618-e7fb-4efa-98fc-ce19b393fce0",10,"2021-12-23 15:36:02","00A4281044425F4DA3B51ABAE4B56495E0"
6055,2,"58376731-1593-41dd-84ac-1a0c0b4579dc",10,"2021-12-23 15:36:02","006D5BB83945B74CBD83B3CE27036967F0"
6054,2,"48576c48-51f9-4cec-a978-4f5b935fe47b",10,"2021-12-23 15:36:02","00678E4D8C4E5540A292D5DB3EE9CBF64C"
6053,2,b85d0f7a-7dea-41da-8fba-d51dd254294d,10,"2021-12-23 15:36:02","007F81C5F98B664CC7B4D9EDC6571F6EBA"
